indicator, indicator.label
"SDG_0111_SEX_AGE_RT","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$2.15 PPP) (%)"
"SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)"
"SDG_0552_NOC_RT","SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%)"
"SDG_T552_NOC_RT","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)"
"SDG_0821_NOC_RT","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2017 international $ at PPP) (%)"
"SDG_0831_SEX_ECO_RT","SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%)"
"SDG_0851_SEX_OCU_NB","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)"
"SDG_0852_SEX_AGE_RT","SDG indicator 8.5.2 - Unemployment rate (%)"
"SDG_0852_SEX_DSB_RT","SDG indicator 8.5.2 - Unemployment rate by disability status (%)"
"SDG_0861_SEX_RT","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)"
"SDG_B871_SEX_AGE_RT","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores (%)"
"SDG_A871_SEX_AGE_RT","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)"
"SDG_N881_SEX_MIG_RT","SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers"
"SDG_F881_SEX_MIG_RT","SDG indicator 8.8.1 - Fatal occupational injuries per 100'000 workers"
"SDG_0882_NOC_RT","SDG indicator 8.8.2 - Level of national compliance with labour rights (freedom of association and collective bargaining)"
"SDG_0922_NOC_RT","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)"
"SDG_1041_NOC_RT","SDG indicator 10.4.1 - Labour income share as a percent of GDP (%)"
"POP_XWAP_SEX_AGE_NB","Working-age population by sex and age (thousands)"
"POP_XWAP_SEX_AGE_EDU_NB","Working-age population by sex, age and education (thousands)"
"POP_XWAP_SEX_AGE_GEO_NB","Working-age population by sex, age and rural / urban areas (thousands)"
"POP_XWAP_SEX_AGE_MTS_NB","Working-age population by sex, age and marital status (thousands)"
"POP_XWAP_SEX_AGE_DSB_NB","Working-age population by sex, age and disability status (thousands)"
"POP_XWAP_SEX_AGE_LMS_NB","Working-age population by sex, age and labour market status (thousands)"
"POP_XWAP_SEX_EDU_NB","Working-age population by sex and education (thousands)"
"POP_XWAP_SEX_EDU_GEO_NB","Working-age population by sex, education and rural / urban areas (thousands)"
"POP_XWAP_SEX_EDU_MTS_NB","Working-age population by sex, education and marital status (thousands)"
"POP_XWAP_SEX_EDU_DSB_NB","Working-age population by sex, education and disability status (thousands)"
"POP_XWAP_SEX_EDU_LMS_NB","Working-age population by sex, education and labour market status (thousands)"
"POP_XWAP_SEX_GEO_NB","Working-age population by sex and rural / urban areas (thousands)"
"POP_XWAP_SEX_GEO_MTS_NB","Working-age population by sex, rural / urban area and marital status (thousands)"
"POP_XWAP_SEX_GEO_DSB_NB","Working-age population by sex, rural / urban areas and disability status (thousands)"
"POP_XWAP_SEX_GEO_LMS_NB","Working-age population by sex, rural / urban areas and labour market status (thousands)"
"POP_XWAP_SEX_MTS_NB","Working-age population by sex and marital status (thousands)"
"POP_XWAP_SEX_MTS_DSB_NB","Working-age population by sex, marital status and disability status (thousands)"
"POP_XWAP_SEX_MTS_LMS_NB","Working-age population by sex, marital status and labour market status (thousands)"
"POP_XWAP_SEX_DSB_NB","Working-age population by sex and disability status (thousands)"
"POP_XWAP_SEX_DSB_LMS_NB","Working-age population by sex, disability status and labour market status (thousands)"
"POP_XWAP_SEX_LMS_NB","Working-age population by sex and labour market status (thousands)"
"GED_TWAP_HHT_NB","Prime-age population by household type (thousands)"
"EAP_TEAP_SEX_AGE_NB","Labour force by sex and age (thousands)"
"EAP_TEAP_SEX_AGE_EDU_NB","Labour force by sex, age and education (thousands)"
"EAP_TEAP_SEX_AGE_GEO_NB","Labour force by sex, age and rural / urban areas (thousands)"
"EAP_TEAP_SEX_AGE_MTS_NB","Labour force by sex, age and marital status (thousands)"
