note_source, note_source.label
"R1:2386","Repository: NSO database"
"R1:2383","Repository: Eurostat"
"R1:2384","Repository: Eurostat special tabulation"
"R1:2382","Repository: OECD"
"R1:3139","Repository: International Monetary Fund"
"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"R1:2475","Repository: ILO-AMERICAS"
"R1:3473","Repository: SEDLAC (CEDLAS and The World Bank)"
"R1:2796","Repository: CIS-STAT"
"R1:3472","Repository: CARICOM"
"R1:2798","Repository: Ministry of Labour"
"R1:2803","Repository: Media Reports"
"R1:4005","Repository: ILO calculations based on Eurostat data"
"S14:4077","Employment definition: Excluding own-use production workers"
"S14:6032","Employment definition: Excluding own-use production workers"
"S14:3359","Employment definition: Including subsistence workers"
"S14:4147","Employment definition: Other nonstandard definition"
"S11:328","Temporary change in source: Labour force survey"
"S11:321","Temporary change in source: Other household survey"
"S11:329","Temporary change in source: Population census"
"S11:327","Temporary change in source: Economic or establishment census"
"S11:325","Temporary change in source: National Accounts"
"S11:323","Temporary change in source: Insurance records"
"S11:326","Temporary change in source: Official Estimates"
"S16:5839","Reference period for measuring volunteer work: 1 day"
"S16:5840","Reference period for measuring volunteer work: 1 week"
"S16:5837","Reference period for measuring volunteer work: 4 weeks, 30 days or calendar month"
"S16:5846","Reference period for measuring volunteer work: 3 months"
"S16:5832","Reference period for measuring volunteer work: 12 months"
"S15:6276","Institution producing the data: National Statistical Office"
"S15:6275","Institution producing the data: Ministry of Labour"
"S15:6310","Institution producing the data: Ministry of Interior"
"S15:6279","Institution producing the data: Immigration services"
"S15:6282","Institution producing the data: Non-standard institution"
"S3:2880","Data reference period: Average of 9 monthly points"
"S3:2879","Data reference period: Average of 11 monthly points"
"S3:2116","Data reference period: Average of 2 monthly points"
"S3:2882","Data reference period: Average of 3 monthly points"
"S3:2881","Data reference period: Average of 4 monthly points"
"S3:6","Data reference period: First semester"
"S3:7","Data reference period: Second semester"
"S3:8","Data reference period: First quarter"
"S3:9","Data reference period: Second quarter"
"S3:10","Data reference period: Third quarter"
"S3:11","Data reference period: Fourth quarter"
"S3:12","Data reference period: January"
"S3:13","Data reference period: February"
"S3:14","Data reference period: March"
"S3:15","Data reference period: April"
"S3:16","Data reference period: May"
"S3:17","Data reference period: June"
"S3:18","Data reference period: July"
"S3:19","Data reference period: August"
"S3:20","Data reference period: September"
"S3:21","Data reference period: October"
"S3:22","Data reference period: November"
"S3:23","Data reference period: December"
"S3:1490","Data reference period: Beginning of year"
"S3:5133","Data reference period: Mid-year"
"S3:24","Data reference period: End of the year"
"S3:2885","Data reference period: Average of 2 quarterly points"
"S3:2841","Data reference period: Average of 3 quarterly points"
"S3:25","Data reference period: Incomplete year"
"S3:26","Data reference period: Noncalendar year"
"S3:3915","Data reference period: Fiscal year"
"S4:30","Geographical coverage: Total national, excluding overseas territories"
"S4:34","Geographical coverage: Total national, excluding some areas"
"S4:31","Geographical coverage: Urban areas only"
"S4:32","Geographical coverage: Main city or metropolitan area"
"S4:33","Geographical coverage: Main cities or metropolitan areas"
"S4:2886","Geographical coverage: Capital"
"S4:3263","Geographical coverage: Nairobi & Mombasa & Kisumu"
"S4:6300","Geographical coverage: Mavoko & Riuru & Limuru"
"S4:3275","Geographical coverage: Gitega & Bujumbura"
"S4:3276","Geographical coverage: Ontario & Quebec"
"S4:1437","Geographical coverage: Government controlled areas"
"S4:35","Geographical coverage: Nonstandard geographical coverage"
"S4:4625","Geographical coverage: Not applicable"
"S5:4138","Population coverage: Excluding institutional population and persons in collective households"
"S5:38","Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"S5:40","Population coverage: Excluding institutional population"
"S5:41","Population coverage: Excluding armed forces and/or conscripts"
"S5:43","Population coverage: Excluding foreigners or foreign born population"
"S5:42","Population coverage: Excluding indigenous population"
"S5:2378","Population coverage: Excluding labour camps"
"S5:2761","Population coverage: Nationals only"
"S5:2963","Population coverage: Excluding nomadic population"
"S5:2527","Population coverage: Africans"
"S5:2528","Population coverage: Agricultural workers"
"S5:2529","Population coverage: Europeans"
"S5:2530","Population coverage: High income group"
"S5:2532","Population coverage: Industrial workers"
"S5:2534","Population coverage: Low income group"
"S5:2536","Population coverage: Middle income group"
"S5:2537","Population coverage: Non-manual employees"
"S5:2539","Population coverage: Wage earners"
"S5:3483","Population coverage: Government official"
"S5:352","Population coverage: Including armed forces and/or conscripts"
"S5:350","Population coverage: Including foreigners"
"S5:2889","Population coverage: Excluding foreigners, unsettled populations and nationals living abroad"
"S5:2887","Population coverage: Excluding resident foreign diplomats and regular military living in barracks"
"S5:356","Population coverage: Nationals, residents"
"S5:3210","Population coverage: Excluding non-permanent residents"
"S5:3115","Population coverage: Excluding nationals in the private sector"
"S5:44","Population coverage: Nonstandard population coverage"
"S5:6311","Population coverage: Excluding workers under specific country agreements"
"S5:3769","Population coverage: Excluding Central Bank employees"
"S12:6059","Resident population definition: Present in the country at time of data collection"
"S12:6053","Resident population definition: Living in the country for more than 3 months"
"S12:6050","Resident population definition: Living or intending to live in the country for more than 3 months"
"S12:6049","Resident population definition: Living in the country for more than 6 months"
"S12:6058","Resident population definition: Living or intending to live in the country for more than 6 months"
"S12:6055","Resident population definition: Living in the country for 12 months or more"
"S12:6054","Resident population definition: Intending to live in the country for 12 months or more"
"S12:6057","Resident population definition: Living or intending to live in the country for 12 months or more"
"S12:6062","Resident population definition: Not applicable"
