source, source.label, ref_area
"BA:829","LFS - Labour Force Survey","ABW"
"AA:22","PC - Population and Housing Census","ABW"
"FX:830","ADM - Other Administrative records and related sources","ABW"
"GA:2314","CPS - Consumer Price Survey","ABW"
"XA:6635","ILO - Social Security Inquiry Database","ABW"
"BA:15715","LFS - Labour Force Survey","AFG"
"BB:6361","HIES - Households Living Conditions Survey","AFG"
"AA:831","PC - Population Census","AFG"
"FI:6357","ADM-RWO - Records of Unions of Afghanistan","AFG"
"FX:3344","ADM - Labour legislation","AFG"
"EA:834","OE - Official Estimates","AFG"
"GA:2272","CPS - Consumer Price Survey","AFG"
"XA:6636","ILO - Social Security Inquiry Database","AFG"
"XA:2198","ILO - Modelled Estimates","AFG"
"XA:16181","ILO - Calculations based on information from ILO textual sources","AFG"
"BA:13951","LFS - Employment Survey","AGO"
"BB:13366","HIES - Core Welfare Indicators Questionnaire","AGO"
"BB:16199","HIES - Survey on Expenditure, Revenue and Employment","AGO"
"BX:15706","HS - Demographic and Health Survey","AGO"
"AA:835","PC - Population Census","AGO"
"FB:838","ADM-EOR - Employment Office Records","AGO"
"FX:3363","ADM - Labour legislation","AGO"
"EA:837","OE - Official Estimates","AGO"
"GA:2319","CPS - Consumer Price Survey","AGO"
"XA:6579","ILO - Social Security Inquiry Database","AGO"
"XA:2010","ILO - Modelled Estimates","AGO"
"XA:15876","ILO - Calculations based on information from ILO textual sources","AGO"
"BA:840","LFS - Labour Force Survey","AIA"
"AA:839","PC - Population Census","AIA"
"DA:841","ES - Labour-related Establishment Survey","AIA"
"EB:842","Other - Other Official Sources","AIA"
"GA:2306","CPS - Consumer Price Survey","AIA"
"XA:6637","ILO - Social Security Inquiry Database","AIA"
"BA:480","LFS - Labour Force Survey","ALB"
"BB:7401","HIES - Living Standards Survey","ALB"
"BC:14117","CLS - National Child Labour Survey","ALB"
"AA:843","PC - Population Census","ALB"
"DA:845","ES - Labour-related Establishment Survey","ALB"
"DA:846","ES - Other Establishment Survey","ALB"
"DA:15729","ES - Structure of Earnings Survey","ALB"
"FA:13364","ADM-IR - General Directorate of Taxation","ALB"
"FB:848","ADM-EOR - Registered Unemployment","ALB"
"FX:7131","ADM - Administrative records and related sources","ALB"
"FX:482","ADM - Annual Structural Survey of Economic Enterprises","ALB"
"FX:3278","ADM - Labour legislation","ALB"
"EA:847","OE - Official Estimates","ALB"
"GA:481","CPS - Consumer Price Survey","ALB"
"XA:6547","ILO - Social Security Inquiry Database","ALB"
"XA:2137","ILO - Modelled Estimates","ALB"
"XA:15877","ILO - Calculations based on information from ILO textual sources","ALB"
"BA:850","LFS - Labour Force Survey","AND"
"AA:849","PC - Population Census","AND"
"FB:99","ADM-EOR - Register of the Employment Service","AND"
"FX:97","ADM - Social Security Service","AND"
"FX:851","ADM - Other Administrative records and related sources","AND"
"EA:98","OE - Department of Statistics Estimations","AND"
"GA:2303","CPS - Consumer Price Survey","AND"
"XA:6484","ILO - Social Security Inquiry Database","AND"
"BA:748","LFS - Labour Force Survey","ANT"
"AA:852","PC - Population Census","ANT"
"FA:854","ADM-IR - Insurance Records","ANT"
"FX:856","ADM - Other Administrative records and related sources","ANT"
"FX:855","ADM - Other Administrative records and related sources, Strikes and Lockouts","ANT"
"EA:853","OE - Official Estimates","ANT"
"GA:2318","CPS - Consumer Price Survey","ANT"
"BA:716","LFS - Labour Force Survey","ARE"
"AA:858","PC - Population Census","ARE"
"DA:859","ES - Labour-related Establishment Survey","ARE"
"FX:12920","ADM - Ministry of Labour Data Library","ARE"
"EA:860","OE - Official Estimates","ARE"
"GA:717","CPS - Consumer Price Survey","ARE"
"XA:6638","ILO - Social Security Inquiry Database","ARE"
"XA:1978","ILO - Modelled Estimates","ARE"
"XA:16182","ILO - Calculations based on information from ILO textual sources","ARE"
"BA:150","LFS - Permanent Household Survey, Urban","ARG"
"BA:153","LFS - Annual Survey of Urban Households","ARG"
"BC:2214","CLS - Child Labour Survey","ARG"
"BX:16201","HS - Households Living Conditions Survey","ARG"
"BC:15674","CLS - Survey on the Activities of Children and Youth","ARG"
"AA:861","PC - Population Census","ARG"
"DA:862","ES - Labour-related Establishment Survey","ARG"
"FA:865","ADM-IR - Insurance Records","ARG"
"FX:3503","ADM - Administrative Records","ARG"
"FX:158","ADM - National plan for employment registration","ARG"
"FX:3502","ADM - Integrated Provisional System of Argentina","ARG"
"FX:157","ADM - Administrative records and related sources","ARG"
"FX:154","ADM - Register of Work Accidents and Occupational Injuries","ARG"
"FX:8237","ADM - Estimations based on Records of the Ministry of Labour, Employment and Social Security","ARG"
"EA:864","OE - Official Estimates","ARG"
"EB:156","Other - Special data collection","ARG"
"GA:2320","CPS - Consumer Price Index","ARG"
"XA:6531","ILO - Social Security Inquiry Database","ARG"
"XA:1868","ILO - Modelled Estimates","ARG"
"XA:15836","ILO - Calculations based on information from ILO textual sources","ARG"
"BA:867","LFS - Household Labour Force Survey","ARM"
"BB:173","HIES - Households Living Conditions Survey","ARM"
"BC:14118","CLS - National Child Labour Survey","ARM"
"BX:6366","HS - School to Work Transition Survey","ARM"
"BX:13331","HS - Integrated Survey on Migration","ARM"
"AA:6363","PC - Population Census","ARM"
"DA:177","ES - Labour-related Establishment Survey","ARM"
"FB:869","ADM-EOR - Employment Office Records","ARM"
"FF:172","ADM-LIR - Records of Labour Inspection of Republic of Armenia","ARM"
"FI:171","ADM-RWO - Records from branch republican Unions","ARM"
"FX:3283","ADM - Labour legislation","ARM"
"FX:15740","ADM - Database of Individual Records on Income Tax and Social Security Tax","ARM"
"EA:868","OE - Official Estimates","ARM"
"EB:176","Other - Statistical Report on Occupational Injuries","ARM"
"GA:175","CPS - Consumer Price Survey","ARM"
"XA:6468","ILO - Social Security Inquiry Database","ARM"
"XA:1931","ILO - Modelled Estimates","ARM"
"XA:15878","ILO - Calculations based on information from ILO textual sources","ARM"
"AA:21","PC - Population Census","ASM"
"EA:871","OE - Official Estimates","ASM"
"GA:2321","CPS - Retail Price Index","ASM"
"AA:872","PC - Population Census","ATG"
"FF:874","ADM-LIR - Labour Inspectorate Records","ATG"
"FX:875","ADM - Labour Relations Records","ATG"
"FX:16106","ADM - Legislation du Travail","ATG"
"EA:873","OE - Official Estimates","ATG"
"GA:2315","CPS - Cost of Living Index","ATG"
"XA:6437","ILO - Social Security Inquiry Database","ATG"
"XA:15820","ILO - Calculations based on information from ILO textual sources","ATG"
"BA:518","LFS - Labour Force Survey","AUS"
"BA:3048","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","AUS"
"BB:15747","HIES - Household, Income and Labour Dynamics Survey","AUS"
"BX:15661","HS - General Social Survey","AUS"
"BX:14103","HS - Survey of Education and Work","AUS"
"AA:876","PC - Population and Housing Census","AUS"
"DA:8238","ES - Major Labour Costs Survey","AUS"
"DA:15745","ES - Survey of Employment and Earnings","AUS"
"DA:603","ES - Survey of Employee Earnings","AUS"
"FA:775","ADM-IR - National Data Standards for Injury Surveillance Records","AUS"
"FA:877","ADM-IR - Insurance Records","AUS"
"FX:557","ADM - Work-related Traumatic Injury Fatalities Records","AUS"
"FX:13344","ADM - Administrative Records of the National statistical Office","AUS"
"FX:524","ADM - Industrial Disputes","AUS"
"FX:3254","ADM - Labour legislation","AUS"
"EB:878","Other - Special data collection","AUS"
"GA:523","CPS - Consumer Price Survey","AUS"
"XA:6595","ILO - Social Security Inquiry Database","AUS"
